Kanjidic2 Heisig CSV header  3007 Heisig rows and max 12 meanings from first 12,155 entries (max 14 meanings)
String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
艦,1116,8266,1875,warship,,,,,,,,,,, 
莞,,839E,2408,smiling,reed used to cover tatami,,,,,,,,,, 
観,445,89B3,572,outlook,look,appearance,condition,view,,,,,,, 
諌,,8ACC,2708,admonish,dissuade,,,,,,,,,, 
貫,1102,8CAB,102,pierce,8 1/3lbs,penetrate,brace,,,,,,,, 
還,1114,9084,837,send back,return,,,,,,,,,, 
鑑,1117,9451,1455,specimen,take warning from,learn from,,,,,,,,, 
間,92,9593,1620,interval,space,,,,,,,,,, 
閑,1109,9591,1625,leisure,,,,,,,,,,, 
関,444,95A2,2017,connection,barrier,gateway,involve,concerning,,,,,,, 
陥,1098,9665,1315,collapse,fall into,cave in,fall (castle),slide into,,,,,,, 
韓,,97D3,1647,Korea,,,,,,,,,,, 
館,247,9928,1478,building,mansion,large building,palace,,,,,,,, 
舘,,8218,2980,mansion,large building,palace,,,,,,,,, 
丸,830,4E38,44,round,full (month),perfection,-ship,pills,make round,roll up,curl up,seduce,explain away,, 
含,1118,542B,1588,include,bear in mind,understand,cherish,,,,,,,, 
岸,248,5CB8,1653,beach,,,,,,,,,,, 
巌,,5DCC,2978,rock,crag,boulder,,,,,,,,, 
玩,,73A9,2567,play,take pleasure in,trifle with,make sport of,,,,,,,, 
癌,,764C,2576,cancer,cancerous evil,,,,,,,,,, 
眼,640,773C,1467,eyeball,,,,,,,,,,, 
岩,249,5CA9,770,boulder,rock,cliff,,,,,,,,, 
翫,,7FEB,2899,take pleasure in,play instrument,,,,,,,,,, 
贋,,8D0B,2151,counterfeit,forgery,,,,,,,,,, 
雁,,96C1,2150,wild goose,,,,,,,,,,, 
頑,1119,9811,61,stubborn,foolish,firmly,,,,,,,,, 
顔,93,9854,1717,face,expression,,,,,,,,,, 
願,446,9858,135,petition,request,vow,wish,hope,,,,,,, 
企,1120,4F01,375,undertake,scheme,design,attempt,plan,,,,,,, 
伎,,4F0E,2122,deed,skill,,,,,,,,,, 
危,831,5371,1416,dangerous,fear,uneasy,,,,,,,,, 
喜,450,559C,1445,rejoice,take pleasure in,,,,,,,,,, 
器,452,5668,121,utensil,vessel,receptacle,implement,instrument,ability,container,tool,set,,, 
基,641,57FA,1767,fundamentals,radical (chem),counter for machines,foundation,,,,,,,, 
奇,1123,5947,126,strange,strangeness,curiosity,,,,,,,,, 
嬉,,5B09,2207,glad,pleased,rejoice,,,,,,,,, 
寄,642,5BC4,192,draw near,stop in,bring near,gather,collect,send,forward,,,,, 
岐,1121,5C90,772,branch off,fork in road,scene,arena,theater,,,,,,, 
希,447,5E0C,1489,hope,beg,request,pray,beseech,Greece,dilute (acid),rare,few,phenomenal,, 
幾,1129,5E7E,1381,how many,how much,how far,how long,some,several,,,,,, 
忌,1122,5FCC,599,mourning,abhor,detestable,death anniversary,,,,,,,, 
揮,833,63EE,662,brandish,wave,wag,swing,shake,,,,,,, 
机,832,673A,210,desk,table,,,,,,,,,, 
旗,451,65D7,1764,national flag,banner,standard,,,,,,,,, 
既,1126,65E2,1481,previously,already,long ago,,,,,,,,, 
期,251,671F,1765,period,time,date,term,,,,,,,, 
棋,1130,68CB,1763,chess piece,Japanese chess,shogi,,,,,,,,, 
棄,1131,68C4,758,abandon,throw away,discard,resign,reject,sacrifice,,,,,, 
機,453,6A5F,1382,mechanism,opportunity,occasion,machine,airplane,,,,,,, 
帰,96,5E30,1230,homecoming,arrive at,lead to,result in,,,,,,,, 
毅,,6BC5,2889,strong,,,,,,,,,,, 
気,11,6C17,1885,spirit,mind,air,atmosphere,mood,,,,,,, 
汽,94,6C7D,1886,vapor,steam,,,,,,,,,, 
畿,,757F,2887,capital,suburbs of capital,,,,,,,,,, 
祈,1124,7948,1128,pray,wish,,,,,,,,,, 
季,448,5B63,912,seasons,,,,,,,,,,, 
稀,,7A00,2611,rare,phenomenal,dilute (acid),,,,,,,,, 
紀,449,7D00,1354,chronicle,account,narrative,history,annals,geologic period,,,,,, 
規,643,898F,841,standard,measure,,,,,,,,,, 
記,95,8A18,529,scribe,account,narrative,,,,,,,,, 
貴,834,8CB4,1771,precious,value,prize,esteem,honor,,,,,,, 
起,250,8D77,526,rouse,wake up,get up,,,,,,,,, 
軌,1125,8ECC,288,rut,wheel,track,model,way of doing,,,,,,, 
輝,1132,8F1D,302,radiance,shine,sparkle,gleam,twinkle,,,,,,, 
飢,1127,98E2,1475,hungry,starve,,,,,,,,,, 
騎,1133,9A0E,1981,equestrian,riding on horses,counter for equestrians,,,,,,,,, 
鬼,1128,9B3C,2019,ghost,devil,,,,,,,,,, 
亀,,4E80,534,tortoise,turtle,,,,,,,,,, 
偽,1135,507D,1919,falsehood,lie,deceive,pretend,counterfeit,forgery,,,,,, 
儀,1137,5100,984,ceremony,rule,affair,case,a matter,,,,,,, 
妓,,5993,2199,stretch,singing girl,geisha,prostitute,,,,,,,, 
宜,1134,5B9C,1783,best regards,good,,,,,,,,,, 
戯,1138,622F,1994,frolic,play,sport,,,,,,,,, 
技,644,6280,712,skill,art,craft,ability,feat,performance,vocation,arts,,,, 
擬,1139,64EC,1411,mimic,aim (a gun) at,nominate,imitate,,,,,,,, 
欺,1136,6B3A,1762,deceit,cheat,delude,,,,,,,,, 
犠,1140,72A0,643,sacrifice,,,,,,,,,,, 
疑,835,7591,1410,doubt,distrust,be suspicious,question,,,,,,,, 
祇,,7947,2600,national or local god,peaceful,great,,,,,,,,, 
義,645,7FA9,641,righteousness,justice,morality,honor,loyalty,meaning,,,,,, 
蟻,,87FB,2686,ant,,,,,,,,,,, 
誼,,8ABC,2719,friendship,intimacy,,,,,,,,,, 
議,454,8B70,642,deliberation,consultation,debate,consideration,,,,,,,, 
菊,1141,83CA,927,chrysanthemum,,,,,,,,,,, 
鞠,,97A0,2787,ball,,,,,,,,,,, 
吉,1142,5409,320,good luck,joy,congratulations,,,,,,,,, 
吃,,5403,2175,stammer,,,,,,,,,,, 
喫,1143,55AB,1550,consume,eat,drink,smoke,receive (a blow),,,,,,, 
桔,,6854,2499,used in plant names,,,,,,,,,,, 
橘,,6A58,2494,mandarin orange,,,,,,,,,,, 
詰,1144,8A70,343,packed,close,pressed,reprove,rebuke,blame,,,,,, 
杵,,6775,2503,wooden pestle,,,,,,,,,,, 
黍,,9ECD,2605,millet,,,,,,,,,,, 
却,1145,5374,1395,instead,on the contrary,rather,,,,,,,,, 
客,252,5BA2,294,guest,visitor,customer,client,,,,,,,, 
脚,1146,811A,1396,skids,leg,undercarriage,,,,,,,,, 
虐,1147,8650,1998,tyrannize,oppress,,,,,,,,,, 
逆,646,9006,1959,inverted,reverse,opposite,wicked,,,,,,,, 
丘,1149,4E18,1329,hill,knoll,,,,,,,,,, 
久,647,4E45,1016,long time,old story,,,,,,,,,, 
仇,,4EC7,2114,foe,enemy,revenge,grudge,feud,,,,,,, 
休,13,4F11,965,rest,day off,retire,sleep,,,,,,,, 
及,1148,53CA,688,reach out,exert,exercise,cause,,,,,,,, 
吸,837,5438,689,suck,imbibe,inhale,sip,,,,,,,, 
宮,256,5BAE,1033,Shinto shrine,constellations,palace,princess,,,,,,,, 
弓,836,5F13,1231,bow,bow (archery, violin),,,,,,,,,, 
急,254,6025,1146,hurry,emergency,sudden,steep,,,,,,,, 
救,456,6551,936,salvation,save,help,rescue,reclaim,,,,,,, 
朽,1150,673D,1243,decay,rot,remain in seclusion,,,,,,,,, 
求,455,6C42,934,request,want,wish for,require,demand,,,,,,, 
汲,,6C72,2322,draw (water),ladle,scoop,pump,,,,,,,, 
泣,838,6CE3,432,cry,weep,moan,,,,,,,,, 
灸,,7078,2538,moxa cautery,chastisement,,,,,,,,,, 
球,257,7403,935,ball,sphere,,,,,,,,,, 
究,253,7A76,1320,research,study,,,,,,,,,, 
窮,1152,7AAE,1326,hard up,destitute,suffer,perplexed,cornered,,,,,,, 
笈,,7B08,2644,backpack bookcase,,,,,,,,,,, 
級,255,7D1A,1353,class,rank,grade,,,,,,,,, 
糾,1151,7CFE,1509,twist,ask,investigate,verify,,,,,,,, 
給,457,7D66,1349,salary,wage,gift,allow,grant,bestow on,,,,,, 
旧,648,65E7,35,old times,old things,old friend,former,ex-,,,,,,, 
牛,97,725B,245,cow,,,,,,,,,,, 
去,258,53BB,750,gone,past,quit,leave,elapse,eliminate,divorce,,,,, 
居,649,5C45,1063,reside,to be,exist,live with,,,,,,,, 
巨,1153,5DE8,856,gigantic,big,large,great,,,,,,,, 
拒,1154,62D2,857,repel,refuse,reject,decline,,,,,,,, 
拠,1155,62E0,669,foothold,based on,follow,therefore,,,,,,,, 
挙,458,6319,1938,raise,plan,project,behavior,actions,,,,,,, 
虚,1156,865A,1993,void,emptiness,unpreparedness,crack,fissure,untruth,,,,,, 
許,650,8A31,569,permit,approve,,,,,,,,,, 
距,1157,8DDD,1281,long-distance,spur,fetlock,,,,,,,,, 
鋸,,92F8,2759,saw (cuts wood),,,,,,,,,,, 
漁,459,6F01,172,fishing,fishery,,,,,,,,,, 
禦,,79A6,2597,defend,protect,resist,ward off,,,,,,,, 
魚,98,9B5A,171,fish,,,,,,,,,,, 
亨,,4EA8,3001,pass through,go smoothly,,,,,,,,,, 
享,1162,4EAB,308,receive,undergo,answer (phone),take,get,catch,,,,,, 
京,99,4EAC,312,capital,10**16,,,,,,,,,, 
供,839,4F9B,1796,submit,offer,present,serve (meal),accompany,,,,,,, 
侠,,4FA0,2107,tomboy,chivalry,,,,,,,,,, 
僑,,50D1,2120,temporary home,,,,,,,,,,, 
兇,,5147,2853,wickedness,,,,,,,,,,, 
競,463,7AF6,434,emulate,compete with,bid,sell at auction,bout,contest,race,,,,, 
共,460,5171,1795,together,both,neither,all,and,alike,with,,,,, 
凶,1159,51F6,1490,villain,evil,bad luck,disaster,,,,,,,, 
協,461,5354,872,co-,cooperation,,,,,,,,,, 
匡,,5321,2892,correct,save,assist,,,,,,,,, 
卿,,537F,2898,you,lord,secretary,state minister,,,,,,,, 
叫,1160,53EB,1508,shout,exclaim,yell,,,,,,,,, 
喬,,55AC,2104,high,boasting,,,,,,,,,, 
境,651,5883,484,boundary,border,region,,,,,,,,, 
峡,1164,5CE1,1265,gorge,ravine,,,,,,,,,, 
強,100,5F37,1235,strong,,,,,,,,,,, 
彊,,5F4A,2240,strong,,,,,,,,,,, 
怯,,602F,2275,cowardice,wince,flinch,hesitate,waver,,,,,,, 
恐,1167,6050,613,fear,dread,awe,,,,,,,,, 
恭,1168,606D,1803,respect,reverent,,,,,,,,,, 
挟,1165,631F,1267,pinch,between,,,,,,,,,, 
教,101,6559,1254,teach,faith,doctrine,,,,,,,,, 
橋,259,6A4B,429,bridge,,,,,,,,,,, 
況,1163,6CC1,145,condition,situation,,,,,,,,,, 
狂,1161,72C2,260,lunatic,insane,crazy,confuse,,,,,,,, 
狭,1166,72ED,1266,cramped,narrow,contract,tight,,,,,,,, 
矯,1170,77EF,1221,rectify,straighten,correct,reform,cure,control,pretend,falsify,,,, 
胸,840,80F8,1491,bosom,breast,chest,heart,feelings,,,,,,, 
脅,1169,8105,871,threaten,coerce,,,,,,,,,, 
興,652,8208,1426,entertain,revive,retrieve,interest,pleasure,,,,,,, 
蕎,,854E,2369,buckwheat,,,,,,,,,,, 
郷,841,90F7,1849,home town,village,native place,district,,,,,,,, 
鏡,462,93E1,483,mirror,speculum,barrel-head,round rice-cake offering,,,,,,,, 
響,1171,97FF,1850,echo,sound,resound,ring,vibrate,,,,,,, 
饗,,9957,2799,banquet,,,,,,,,,,, 
驚,1172,9A5A,1987,wonder,be surprised,frightened,amazed,,,,,,,, 
仰,1173,4EF0,1701,face-up,look up,depend,seek,respect,rever,drink,take,,,, 
凝,1175,51DD,1412,congeal,freeze,stiff,be absorbed in,,,,,,,, 
尭,,5C2D,2095,high,far,,,,,,,,,, 
暁,1174,6681,1201,daybreak,dawn,in the event,,,,,,,,, 
業,260,696D,1792,business,vocation,arts,performance,,,,,,,, 
局,262,5C40,1066,bureau,board,office,affair,conclusion,court lady,lady-in-waiting,her apartment,,,, 
曲,261,66F2,1172,bend,music,melody,composition,pleasure,injustice,fault,curve,crooked,perverse,lean, 
極,464,6975,1903,poles,settlement,conclusion,end,highest rank,electric poles,very,extremely,most,highly,10**48, 
玉,102,7389,256,jewel,ball,,,,,,,,,, 
桐,,6850,204,paulownia,,,,,,,,,,, 
粁,,7C81,2946,kilometer,(kokuji),,,,,,,,,, 
僅,,50C5,2116,a wee bit,,,,,,,,,,, 
勤,842,52E4,1577,diligence,become employed,serve,,,,,,,,, 
均,653,5747,160,level,average,,,,,,,,,, 
巾,,5DFE,2101,towel,hanging scroll,width,cloth radical (no. 50),,,,,,,, 
錦,,9326,411,brocade,fine dress,honors,,,,,,,,, 
斤,1176,65A4,1125,axe,1.32 lb,catty,counter for loaves of bread,axe radical (no. 69),,,,,,, 
欣,,6B23,2888,take pleasure in,rejoice,,,,,,,,,, 
欽,,6B3D,3004,respect,revere,long for,,,,,,,,, 
琴,1178,7434,1591,harp,koto,,,,,,,,,, 
禁,654,7981,1098,prohibition,ban,forbid,,,,,,,,, 
禽,,79BD,2049,bird,captive,capture,,,,,,,,, 
筋,843,7B4B,941,muscle,sinew,tendon,fiber,plot,plan,descent,,,,, 
緊,1179,7DCA,1374,tense,solid,hard,reliable,tight,,,,,,, 
芹,,82B9,2396,parsley,,,,,,,,,,, 
菌,1177,83CC,918,germ,fungus,bacteria,,,,,,,,, 
衿,,887F,2623,neck,collar,lapel,,,,,,,,, 
襟,1181,895F,1099,collar,neck,lapel,,,,,,,,, 
謹,1180,8B39,1576,discreet,reverently,humbly,,,,,,,,, 
近,103,8FD1,1129,near,early,akin,tantamount,,,,,,,, 
金,14,91D1,269,gold,,,,,,,,,,, 
吟,1182,541F,1589,versify,singing,recital,,,,,,,,, 
銀,263,9280,1459,silver,,,,,,,,,,, 
九,12,4E5D,9,nine,,,,,,,,,,, 
倶,,5036,2124,both,,,,,,,,,,, 
句,655,53E5,65,phrase,clause,sentence,passage,paragraph,counter for haiku,,,,,, 
区,465,533A,1696,ward,district,,,,,,,,,, 
狗,,72D7,2341,puppy,dog,,,,,,,,,, 
玖,,7396,2565,beautiful black jewel,nine,,,,,,,,,, 
矩,,77E9,2585,ruler,carpenter's square,,,,,,,,,, 
苦,264,82E6,225,suffering,trial,worry,hardship,feel bitter,scowl,,,,,, 
躯,,8EAF,2986,body,corpse,tree with rotten core,,,,,,,,, 
駆,1183,99C6,1983,drive,run,gallop,advance,inspire,impel,,,,,, 
駈,,99C8,2809,run,gallop,advance,,,,,,,,, 
駒,,99D2,1979,pony,horse,colt,,,,,,,,, 
具,265,5177,74,tool,utensil,means,possess,ingredients,counter for armor, suits, sets of furniture,,,,,, 
愚,1184,611A,1957,foolish,folly,absurdity,stupid,,,,,,,, 
虞,1040,865E,1995,expectation,consideration,uneasiness,fear,anxiety,concern,,,,,, 
喰,,55B0,2182,eat,drink,receive (a blow),(kokuji),,,,,,,, 
空,15,7A7A,1317,empty,sky,void,vacant,vacuum,,,,,,, 
偶,1185,5076,1955,accidentally,even number,couple,man & wife,same kind,,,,,,, 
寓,,5BD3,2211,temporary abode,imply,suggest,,,,,,,,, 
遇,1186,9047,1956,interview,treat,entertain,receive,deal with,,,,,,, 
隅,1187,9685,1958,corner,nook,,,,,,,,,, 
串,,4E32,603,shish kebab,spit,skewer,,,,,,,,, 
櫛,,6ADB,2476,comb,,,,,,,,,,, 
屑,,5C51,2219,rubbish,junk,trash,waste,scraps,,,,,,, 
屈,1188,5C48,1060,yield,bend,flinch,submit,,,,,,,, 
掘,1189,6398,1061,dig,delve,excavate,,,,,,,,, 
窟,,7A9F,2615,cavern,,,,,,,,,,, 
靴,1052,9774,1894,shoes,,,,,,,,,,, 
轡,,8F61,2965,bit (horse),,,,,,,,,,, 
窪,,7AAA,1323,depression,cave in,sink,become hollow,,,,,,,, 
熊,,718A,2003,bear,,,,,,,,,,, 
隈,,9688,2427,corner,nook,recess,,,,,,,,, 
栗,,6817,1609,chestnut,,,,,,,,,,, 
繰,1190,7E70,1369,winding,reel,spin,turn (pages),look up,refer to,,,,,, 
桑,1518,6851,698,mulberry,,,,,,,,,,, 
鍬,,936C,2762,hoe with long blade at acute angle,,,,,,,,,,, 
勲,1191,52F2,1677,meritorious deed,merit,,,,,,,,,, 
君,266,541B,1162,mister,you,ruler,male name suffix,,,,,,,, 
薫,1192,85AB,1681,send forth fragrance,fragrant,be scented,smoke (tobacco),,,,,,,, 
訓,656,8A13,341,instruction,Japanese character reading,explanation,read,,,,,,,, 
群,657,7FA4,1163,flock,group,crowd,herd,swarm,cluster,,,,,, 
軍,466,8ECD,301,army,force,troops,war,battle,,,,,,, 
郡,467,90E1,1843,county,district,,,,,,,,,, 
袈,,8888,2700,a coarse camlet,,,,,,,,,,, 
係,268,4FC2,1392,person in charge,connection,duty,concern oneself,,,,,,,, 
傾,1201,50BE,1011,lean,incline,tilt,trend,wane,sink,ruin,bias,,,, 
刑,1193,5211,679,punish,penalty,sentence,punishment,,,,,,,, 
兄,267,5144,103,elder brother,big brother,,,,,,,,,, 
啓,1197,5553,1085,disclose,open,say,,,,,,,,, 
圭,,572D,155,square jewel,corner,angle,edge,,,,,,,, 
珪,,73EA,2564,jade scepter or tablet (authority symbol),,,,,,,,,,, 
型,468,578B,680,mould,type,model,,,,,,,,, 
契,1195,5951,1549,pledge,promise,vow,,,,,,,,, 
形,104,5F62,1711,shape,form,style,,,,,,,,, 
径,845,5F84,882,diameter,path,method,,,,,,,,, 
恵,1196,6075,612,favor,blessing,grace,kindness,,,,,,,, 
慶,1204,6176,2001,jubilation,congratulate,rejoice,be happy,,,,,,,, 
慧,,6167,2851,wise,,,,,,,,,,, 
憩,1205,61A9,611,recess,rest,relax,repose,,,,,,,, 
掲,1198,63B2,673,put up (a notice),put up,hoist,display,hang out,publish,describe,,,,, 
携,1202,643A,687,portable,carry (in hand),armed with,bring along,,,,,,,, 
敬,846,656C,334,awe,respect,honor,revere,,,,,,,, 
景,469,666F,314,scenery,view,,,,,,,,,, 
桂,,6842,198,Japanese Judas-tree,cinnamon tree,,,,,,,,,, 
渓,1199,6E13,840,mountain stream,valley,,,,,,,,,, 
畦,,7566,2571,rice paddy ridge,furrow,rib,,,,,,,,, 
稽,,7A3D,2088,think,consider,,,,,,,,,, 
系,844,7CFB,1391,lineage,system,,,,,,,,,, 
経,658,7D4C,1360,sutra,longitude,pass thru,expire,warp,,,,,,, 
継,1203,7D99,1370,inherit,succeed,patch,graft (tree),,,,,,,, 
繋,,7E4B,2655,tie,fasten,chain,tether,connect,,,,,,, 
罫,,7F6B,2698,ruled line,,,,,,,,,,, 
茎,1194,830E,715,stalk,stem,,,,,,,,,, 
蛍,1200,86CD,518,lightning-bug,firefly,,,,,,,,,, 
計,105,8A08,337,plot,plan,scheme,measure,,,,,,,, 
詣,,8A63,2715,visit a temple,,,,,,,,,,, 
警,847,8B66,336,admonish,commandment,,,,,,,,,, 
軽,269,8EFD,717,lightly,trifling,unimportant,,,,,,,,, 
頚,,981A,2796,neck,head,,,,,,,,,, 
鶏,1206,9D8F,1947,chicken,,,,,,,,,,, 
芸,470,82B8,421,technique,art,craft,performance,acting,trick,stunt,,,,, 
迎,1207,8FCE,1702,welcome,meet,greet,,,,,,,,, 
鯨,1208,9BE8,315,whale,,,,,,,,,,, 
劇,848,5287,1997,drama,play,,,,,,,,,, 
撃,1209,6483,709,beat,attack,defeat,conquer,,,,,,,, 
激,1210,6FC0,497,violent,get excited,enraged,chafe,incite,,,,,,, 
隙,,9699,2426,crevice,fissure,discord,opportunity,leisure,,,,,,, 
桁,,6841,2483,beam,girder,spar,unit or column (accounting),,,,,,,, 
傑,1211,5091,999,greatness,excellence,,,,,,,,,, 
欠,471,6B20,466,lack,gap,fail,yawning radical (no. 76),,,,,,,, 
決,271,6C7A,1641,decide,fix,agree upon,appoint,,,,,,,, 
潔,659,6F54,1548,undefiled,pure,clean,righteous,gallant,,,,,,, 
穴,849,7A74,1316,hole,aperture,slit,cave,den,,,,,,, 
結,472,7D50,1351,tie,bind,contract,join,organize,do up hair,fasten,,,,, 
血,270,8840,1448,blood,,,,,,,,,,, 
訣,,8A23,2714,separation,part,secret,,,,,,,,, 
月,16,6708,13,month,moon,,,,,,,,,, 
件,660,4EF6,959,affair,case,matter,item,,,,,,,, 
倹,1213,5039,1674,frugal,economy,thrifty,,,,,,,,, 
倦,,5026,2108,lose interest in,tire of,,,,,,,,,, 
健,474,5065,974,healthy,health,strength,persistence,,,,,,,, 
兼,850,517C,1597,concurrently,and,,,,,,,,,, 
券,661,5238,1206,ticket,,,,,,,,,,, 
剣,1214,5263,1671,sabre,sword,blade,clock hand,,,,,,,, 
喧,,55A7,2163,noisy,boisterous,,,,,,,,,, 
圏,1216,570F,1208,sphere,circle,radius,range,,,,,,,, 
堅,1217,5805,853,strict,hard,solid,tough,tight,reliable,,,,,, 
嫌,1218,5ACC,1598,dislike,detest,hate,,,,,,,,, 
建,473,5EFA,391,build,,,,,,,,,,, 
憲,852,61B2,1554,constitution,law,,,,,,,,,, 
懸,1225,61F8,1394,suspend,hang,10%,install,depend,consult,,,,,, 
拳,,62F3,2917,fist,,,,,,,,,,, 
検,663,691C,1673,examination,investigate,,,,,,,,,, 
権,851,6A29,571,authority,power,rights,,,,,,,,, 
牽,,727D,2550,pull,tug,drag,lead by hand,,,,,,,, 
犬,17,72AC,238,dog,,,,,,,,,,, 
献,1219,732E,1615,offering,counter for drinks,present,offer,,,,,,,, 
研,272,7814,675,polish,study of,sharpen,,,,,,,,, 
硯,,786F,2589,inkstone,,,,,,,,,,, 
絹,664,7D79,1368,silk,,,,,,,,,,, 
県,273,770C,513,prefecture,,,,,,,,,,, 
肩,1212,80A9,1077,shoulder,,,,,,,,,,, 
見,18,898B,57,see,hopes,chances,idea,opinion,look at,visible,,,,, 
謙,1222,8B19,1600,self-effacing,humble oneself,condescend,be modest,,,,,,,, 
賢,1221,8CE2,852,intelligent,wise,wisdom,cleverness,,,,,,,, 
軒,1215,8ED2,1652,flats,counter for houses,eaves,,,,,,,,, 
遣,1220,9063,1773,dispatch,despatch,send,give,donate,do,undertake,,,,, 
鍵,,9375,2761,key,,,,,,,,,,, 
険,662,967A,1672,precipitous,inaccessible place,impregnable position,steep place,sharp eyes,,,,,,, 
顕,1224,9855,1789,appear,existing,,,,,,,,,, 
験,475,9A13,1980,verification,effect,testing,,,,,,,,, 
鹸,,9E78,2867,saltiness,,,,,,,,,,, 
元,106,5143,59,beginning,former time,origin,,,,,,,,, 
原,107,539F,134,meadow,original,primitive,field,plain,prairie,tundra,wilderness,,,, 
厳,854,53B3,1936,stern,strictness,severity,rigidity,,,,,,,, 
幻,1226,5E7B,1862,phantasm,vision,dream,illusion,apparition,,,,,,, 
弦,1228,5F26,1386,bowstring,chord,hypotenuse,,,,,,,,, 
減,667,6E1B,366,dwindle,decrease,reduce,decline,curtail,get hungry,,,,,, 
源,853,6E90,142,source,origin,,,,,,,,,, 
玄,1227,7384,1383,mysterious,occultness,,,,,,,,,, 
現,666,73FE,259,present,existing,actual,,,,,,,,, 
絃,,7D43,2669,string,cord,samisen music,,,,,,,,, 
舷,,8237,2675,gunwale,,,,,,,,,,, 
言,274,8A00,335,say,,,,,,,,,,, 
諺,,8AFA,2723,proverb,,,,,,,,,,, 
限,665,9650,1466,limit,restrict,to best of ability,,,,,,,,, 
個,669,500B,973,individual,counter for articles,,,,,,,,,, 
古,109,53E4,16,old,,,,,,,,,,, 
呼,856,547C,1485,call,call out to,invite,,,,,,,,, 
固,476,56FA,580,harden,set,clot,curdle,,,,,,,, 
姑,,59D1,2205,mother-in-law,,,,,,,,,,, 
孤,1229,5B64,1879,orphan,alone,,,,,,,,,, 
己,855,5DF1,525,self,snake,serpent,,,,,,,,, 
庫,275,5EAB,589,warehouse,storehouse,,,,,,,,,, 
弧,1230,5F27,1878,arc,arch,bow,,,,,,,,, 
戸,108,6238,1076,door,counter for houses,door radical (no. 63),,,,,,,,, 
故,668,6545,333,happenstance,especially,intentionally,reason,cause,circumstances,the late,therefore,consequently,,, 
枯,1231,67AF,206,wither,die,dry up,be seasoned,,,,,,,, 
湖,276,6E56,148,lake,,,,,,,,,,, 
狐,,72D0,2342,fox,,,,,,,,,,, 
糊,,7CCA,2650,paste,glue,sizing,,,,,,,,, 
袴,,88B4,2626,men's formal divided skirt,,,,,,,,,,, 
股,,80A1,2454,thigh,crotch,,,,,,,,,, 
胡,,80E1,2470,barbarian,foreign,,,,,,,,,, 
菰,,83F0,2383,reed used for matting,,,,,,,,,,, 
虎,,864E,1990,tiger,drunkard,,,,,,,,,, 
誇,1233,8A87,1244,boast,be proud,pride,triumphantly,,,,,,,, 
跨,,8DE8,2744,be,sit or stand astride,extend over,straddle,,,,,,,, 
雇,1232,96C7,1083,employ,hire,,,,,,,,,, 
顧,1235,9867,1084,look back,review,examine oneself,turn around,,,,,,,, 
鼓,1234,9F13,1444,drum,beat,rouse,muster,,,,,,,, 
五,19,4E94,5,five,,,,,,,,,,, 
互,1236,4E92,757,mutually,reciprocally,together,,,,,,,,, 
伍,,4F0D,2967,5,5-man squad,file,line,,,,,,,, 
午,110,5348,568,noon,sign of the horse,11AM-1PM,seventh sign of Chinese zodiac,,,,,,,, 
呉,1237,5449,1897,give,do something for,,,,,,,,,, 
吾,,543E,17,I,my,our,one's own,,,,,,,, 
娯,1238,5A2F,1898,recreation,pleasure,,,,,,,,,, 
後,111,5F8C,1379,behind,back,later,,,,,,,,, 
御,1158,5FA1,1398,honorable,manipulate,govern,,,,,,,,, 
悟,1239,609F,622,enlightenment,perceive,discern,realize,understand,,,,,,, 
梧,,68A7,3003,Chinese parasol tree,phoenix tree,,,,,,,,,, 
檎,,6A8E,2050,apple,,,,,,,,,,, 
瑚,,745A,2562,ancestral offering receptacle,coral,,,,,,,,,, 
碁,1240,7881,1766,Go,,,,,,,,,,, 
語,112,8A9E,347,word,speech,language,,,,,,,,, 
誤,857,8AA4,1899,mistake,err,do wrong,mislead,,,,,,,, 
護,670,8B77,700,safeguard,protect,,,,,,,,,, 
醐,,9190,2749,boiled butter,,,,,,,,,,, 
乞,,4E5E,462,beg,invite,ask,,,,,,,,, 
鯉,,9BC9,176,carp,,,,,,,,,,, 
交,115,4EA4,1275,mingle,mixing,association,coming & going,,,,,,,, 
佼,,4F7C,2109,beautiful,clever,deceive,sly,,,,,,,, 
侯,1256,4FAF,1639,marquis,lord,daimyo,,,,,,,,, 
候,478,5019,1640,climate,season,weather,,,,,,,,, 
倖,,5016,2119,happiness,luck,,,,,,,,,, 
光,116,5149,119,ray,light,,,,,,,,,, 
公,277,516C,784,public,prince,official,governmental,,,,,,,, 
功,477,529F,863,achievement,merits,success,honor,credit,,,,,,, 
効,671,52B9,1276,merit,efficacy,efficiency,benefit,,,,,,,, 
勾,,52FE,2148,be bent,slope,capture,,,,,,,,, 
厚,672,539A,125,thick,heavy,rich,kind,cordial,brazen,shameless,,,,, 
口,20,53E3,11,mouth,,,,,,,,,,, 
向,278,5411,183,yonder,facing,beyond,confront,defy,tend toward,approach,,,,, 
后,858,540E,1861,empress,queen,after,behind,back,later,,,,,, 
喉,,5589,2164,throat,voice,,,,,,,,,, 
坑,1245,5751,306,pit,hole,,,,,,,,,, 
垢,,57A2,2187,dirt,grime,earwax,,,,,,,,, 
好,859,597D,99,fond,pleasing,like something,,,,,,,,, 
孔,1241,5B54,96,cavity,hole,slit,very,great,exceedingly,,,,,, 
孝,860,5B5D,1253,filial piety,child's respect,,,,,,,,,, 
宏,,5B8F,2212,wide,large,,,,,,,,,, 
