Kanjidic2 Heisig CSV header  3007 Heisig rows and max 12 meanings from first 12,155 entries (max 14 meanings)
String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
蔭,,852D,2374,shade,shadow,backing assistance,,,,,,,,, 
院,229,9662,1304,Inst.,institution,temple,mansion,school,,,,,,, 
陰,1013,9670,1592,shade,yin,negative,sex organs,secret,shadow,,,,,, 
隠,1014,96A0,1313,conceal,hide,cover,,,,,,,,, 
韻,1015,97FB,481,rhyme,elegance,tone,,,,,,,,, 
吋,,540B,2952,inch,,,,,,,,,,, 
右,2,53F3,78,right,,,,,,,,,,, 
宇,811,5B87,1656,eaves,roof,house,heaven,,,,,,,, 
烏,,70CF,1944,crow,raven,,,,,,,,,, 
羽,812,7FBD,573,feathers,counter for birds, rabbits,,,,,,,,,, 
迂,,8FC2,2415,roundabout way,,,,,,,,,,, 
雨,3,96E8,422,rain,,,,,,,,,,, 
卯,,536F,2041,sign of the hare or rabbit,5-7AM,fourth sign of Chinese zodiac,east,,,,,,,, 
鵜,,9D5C,2832,cormorant,,,,,,,,,,, 
窺,,7ABA,2613,lie in wait,spy on,reconnoiter,,,,,,,,, 
丑,,4E11,2040,sign of the ox or cow,1-3AM,second sign of Chinese zodiac,,,,,,,,, 
碓,,7893,2596,pestle,,,,,,,,,,, 
臼,,81FC,2063,mortar,,,,,,,,,,, 
渦,1048,6E26,1292,whirlpool,eddy,vortex,,,,,,,,, 
嘘,,5618,2167,lie,falsehood,,,,,,,,,, 
唄,,5504,2178,songs with samisen,,,,,,,,,,, 
欝,,6B1D,2856,gloom,depression,melancholy,,,,,,,,, 
蔚,,851A,2406,dense growth,,,,,,,,,,, 
鰻,,9C3B,2811,eel,,,,,,,,,,, 
姥,,59E5,2204,old woman,,,,,,,,,,, 
浦,1785,6D66,1837,bay,creek,inlet,gulf,beach,seacoast,,,,,, 
瓜,,74DC,1877,melon,,,,,,,,,,, 
噂,,5642,2161,rumor,gossip,hearsay,,,,,,,,, 
云,,4E91,2102,say,,,,,,,,,,, 
運,231,904B,303,carry,luck,destiny,fate,lot,transport,progress,advance,,,, 
雲,78,96F2,423,cloud,,,,,,,,,,, 
餌,,990C,2797,food,bait,prey,tempting profit,,,,,,,, 
叡,,53E1,2905,intelligence,imperial,,,,,,,,,, 
営,616,55B6,1034,occupation,camp,perform,build,conduct (business),,,,,,, 
嬰,,5B30,2193,sharp (music),baby,,,,,,,,,, 
影,1017,5F71,1712,shadow,silhouette,phantom,,,,,,,,, 
